;인덱스		
;그룹		
;아이템 인덱스		
;확률		
;		
;		1000000000 = 100
14	4	3125000
14	5	3125000
14	101	3125000
14	102	3125000
14	103	3125000
14	104	3125000
14	105	3125000
14	201	3125000
14	202	3125000
14	203	3125000
14	204	3125000
14	205	3125000
14	301	3125000
14	302	3125000
14	303	3125000
14	304	3125000
14	305	3125000
14	401	3125000
14	402	3125000
14	403	3125000
14	404	3125000
14	501	3125000
14	502	3125000
14	503	3125000
14	504	3125000
14	601	3125000
14	602	3125000
14	603	3125000
14	604	3125000
14	701	3125000
14	702	3125000
14	703	3125000
14	704	3125000
14	801	3125000
14	802	3125000
14	803	3125000
14	804	3125000
14	901	3125000
14	902	3125000
14	903	3125000
14	904	3125000
14	1001	3125000
14	1002	3125000
14	1003	3125000
14	1004	3125000
14	1201	3125000
14	1301	3125000
14	1501	3125000
14	1502	3125000
14	1503	3125000
14	1504	3125000
14	2401	3125000
14	2402	3125000
14	2403	3125000
14	2404	3125000
14	2405	3125000
14	2501	3125000
14	2502	3125000
14	2503	3125000
14	2504	3125000
14	2505	3125000
14	6	657895
14	7	657895
14	8	657895
14	9	657895
14	10	657895
14	106	657895
14	107	657895
14	108	657895
14	109	657895
14	110	657895
14	206	657895
14	207	657895
14	208	657895
14	209	657895
14	210	657895
14	306	657895
14	307	657895
14	308	657895
14	309	657895
14	310	657895
14	405	657895
14	406	657895
14	407	657895
14	408	657895
14	409	657895
14	505	657895
14	506	657895
14	507	657895
14	508	657895
14	509	657895
14	605	657895
14	606	657895
14	607	657895
14	608	657895
14	609	657895
14	705	657895
14	706	657895
14	707	657895
14	708	657895
14	709	657895
14	805	657895
14	806	657895
14	807	657895
14	808	657895
14	809	657895
14	905	657895
14	906	657895
14	907	657895
14	908	657895
14	909	657895
14	1005	657895
14	1006	657895
14	1007	657895
14	1008	657895
14	1009	657895
14	1202	657895
14	1203	657894
14	1204	657894
14	1302	657894
14	1303	657894
14	1304	657894
14	1505	657894
14	1506	657894
14	1507	657894
14	1508	657894
14	1509	657894
14	2406	657894
14	2407	657894
14	2408	657894
14	2409	657894
14	2410	657894
14	2506	657894
14	2507	657894
14	2508	657894
14	2509	657894
14	2510	657894
14	11	1064
14	12	1064
14	13	1064
14	14	1064
14	15	1064
14	16	1064
14	17	1064
14	111	1064
14	112	1064
14	113	1064
14	114	1064
14	115	1064
14	116	1064
14	117	1064
14	211	1064
14	212	1064
14	213	1064
14	214	1064
14	215	1064
14	216	1064
14	217	1064
14	311	1064
14	312	1064
14	313	1064
14	314	1064
14	315	1064
14	316	1064
14	317	1064
14	410	1064
14	411	1064
14	412	1064
14	413	1064
14	414	1064
14	415	1064
14	510	1064
14	511	1064
14	512	1064
14	513	1064
14	514	1064
14	515	1064
14	610	1064
14	611	1064
14	612	1064
14	613	1064
14	614	1064
14	615	1064
14	710	1064
14	711	1064
14	712	1064
14	713	1064
14	714	1064
14	715	1064
14	810	1064
14	811	1064
14	812	1064
14	813	1064
14	814	1064
14	815	1064
14	910	1064
14	911	1064
14	912	1064
14	913	1064
14	914	1064
14	915	1064
14	1010	1064
14	1011	1064
14	1012	1064
14	1013	1064
14	1014	1064
14	1015	1064
14	1205	1064
14	1206	1064
14	1305	1064
14	1306	1064
14	1510	1064
14	1511	1064
14	1512	1064
14	1513	1064
14	1514	1063
14	1515	1063
14	2411	1063
14	2412	1063
14	2413	1063
14	2414	1063
14	2415	1063
14	2416	1063
14	2417	1063
14	2511	1063
14	2512	1063
14	2513	1063
14	2514	1063
14	2515	1063
14	2516	1063
14	2517	1063
14	5301	3166667
14	5302	3166667
14	5303	3166666
14	5304	334
14	5305	333
14	5306	333
14	5335	50000000
14	6706	50000000
14	5334	10000000
14	5002	100000000
14	5502	500000
14	5503	500000
14	5504	500000
14	5505	500000
14	5506	500000
14	5501	97500000
14	3901	30000000
14	3905	200000000
14	2904	75144500
14	3004	75144500
;14	6728	50000000
14	5347	100000
14	5346	10000
;기연12		
18	1	3125000
18	2	3125000
18	3	3125000
18	4	3125000
18	5	3125000
18	101	3125000
18	102	3125000
18	103	3125000
18	104	3125000
18	105	3125000
18	201	3125000
18	202	3125000
18	203	3125000
18	204	3125000
18	205	3125000
18	301	3125000
18	302	3125000
18	303	3125000
18	304	3125000
18	305	3125000
18	401	3125000
18	402	3125000
18	403	3125000
18	404	3125000
18	501	3125000
18	502	3125000
18	503	3125000
18	504	3125000
18	601	3125000
18	602	3125000
18	603	3125000
18	604	3125000
18	701	3125000
18	702	3125000
18	703	3125000
18	704	3125000
18	801	3125000
18	802	3125000
18	803	3125000
18	804	3125000
18	901	3125000
18	902	3125000
18	903	3125000
18	904	3125000
18	1001	3125000
18	1002	3125000
18	1003	3125000
18	1004	3125000
18	1201	3125000
18	1301	3125000
18	1501	3125000
18	1502	3125000
18	1503	3125000
18	1504	3125000
18	2401	3125000
18	2402	3125000
18	2403	3125000
18	2404	3125000
18	2405	3125000
18	2501	3125000
18	2502	3125000
18	2503	3125000
18	2504	3125000
18	2505	3125000
18	6	657895
18	7	657895
18	8	657895
18	9	657895
18	10	657895
18	106	657895
18	107	657895
18	108	657895
18	109	657895
18	110	657895
18	206	657895
18	207	657895
18	208	657895
18	209	657895
18	210	657895
18	306	657895
18	307	657895
18	308	657895
18	309	657895
18	310	657895
18	405	657895
18	406	657895
18	407	657895
18	408	657895
18	409	657895
18	505	657895
18	506	657895
18	507	657895
18	508	657895
18	509	657895
18	605	657895
18	606	657895
18	607	657895
18	608	657895
18	609	657895
18	705	657895
18	706	657895
18	707	657895
18	708	657895
18	709	657895
18	805	657895
18	806	657895
18	807	657895
18	808	657895
18	809	657895
18	905	657895
18	906	657895
18	907	657895
18	908	657895
18	909	657895
18	1005	657895
18	1006	657895
18	1007	657895
18	1008	657895
18	1009	657895
18	1202	657895
18	1203	657894
18	1204	657894
18	1302	657894
18	1303	657894
18	1304	657894
18	1505	657894
18	1506	657894
18	1507	657894
18	1508	657894
18	1509	657894
18	2406	657894
18	2407	657894
18	2408	657894
18	2409	657894
18	2410	657894
18	2506	657894
18	2507	657894
18	2508	657894
18	2509	657894
18	2510	657894
18	11	1064
18	12	1064
18	13	1064
18	14	1064
18	15	1064
18	16	1064
18	17	1064
18	111	1064
18	112	1064
18	113	1064
18	114	1064
18	115	1064
18	116	1064
18	117	1064
18	211	1064
18	212	1064
18	213	1064
18	214	1064
18	215	1064
18	216	1064
18	217	1064
18	311	1064
18	312	1064
18	313	1064
18	314	1064
18	315	1064
18	316	1064
18	317	1064
18	410	1064
18	411	1064
18	412	1064
18	413	1064
18	414	1064
18	415	1064
18	510	1064
18	511	1064
18	512	1064
18	513	1064
18	514	1064
18	515	1064
18	610	1064
18	611	1064
18	612	1064
18	613	1064
18	614	1064
18	615	1064
18	710	1064
18	711	1064
18	712	1064
18	713	1064
18	714	1064
18	715	1064
18	810	1064
18	811	1064
18	812	1064
18	813	1064
18	814	1064
18	815	1064
18	910	1064
18	911	1064
18	912	1064
18	913	1064
18	914	1064
18	915	1064
18	1010	1064
18	1011	1064
18	1012	1064
18	1013	1064
18	1014	1064
18	1015	1064
18	1205	1064
18	1206	1064
18	1305	1064
18	1306	1064
18	1510	1064
18	1511	1064
18	1512	1064
18	1513	1064
18	1514	1063
18	1515	1063
18	2411	1063
18	2412	1063
18	2413	1063
18	2414	1063
18	2415	1063
18	2416	1063
18	2417	1063
18	2511	1063
18	2512	1063
18	2513	1063
18	2514	1063
18	2515	1063
18	2516	1063
18	2517	1063
18	5301	4333334
18	5302	4333333
18	5303	4333333
18	5304	334
18	5305	333
18	5306	333
18	5335	50000000
18	6706	50000000
18	5334	10000000
18	5002	100000000
18	5502	500000
18	5503	500000
18	5504	500000
18	5505	500000
18	5506	500000
18	5501	97500000
18	3901	30000000
18	3905	200000000
18	2905	73394500
18	3005	73394500
;18	6728	50000000
18	5347	100000
18	5346	10000
;용린기1		
19	1	3125000
19	2	3125000
19	3	3125000
19	4	3125000
19	5	3125000
19	101	3125000
19	102	3125000
19	103	3125000
19	104	3125000
19	105	3125000
19	201	3125000
19	202	3125000
19	203	3125000
19	204	3125000
19	205	3125000
19	301	3125000
19	302	3125000
19	303	3125000
19	304	3125000
19	305	3125000
19	401	3125000
19	402	3125000
19	403	3125000
19	404	3125000
19	501	3125000
19	502	3125000
19	503	3125000
19	504	3125000
19	601	3125000
19	602	3125000
19	603	3125000
19	604	3125000
19	701	3125000
19	702	3125000
19	703	3125000
19	704	3125000
19	801	3125000
19	802	3125000
19	803	3125000
19	804	3125000
19	901	3125000
19	902	3125000
19	903	3125000
19	904	3125000
19	1001	3125000
19	1002	3125000
19	1003	3125000
19	1004	3125000
19	1201	3125000
19	1301	3125000
19	1501	3125000
19	1502	3125000
19	1503	3125000
19	1504	3125000
19	2401	3125000
19	2402	3125000
19	2403	3125000
19	2404	3125000
19	2405	3125000
19	2501	3125000
19	2502	3125000
19	2503	3125000
19	2504	3125000
19	2505	3125000
19	6	657895
19	7	657895
19	8	657895
19	9	657895
19	10	657895
19	106	657895
19	107	657895
19	108	657895
19	109	657895
19	110	657895
19	206	657895
19	207	657895
19	208	657895
19	209	657895
19	210	657895
19	306	657895
19	307	657895
19	308	657895
19	309	657895
19	310	657895
19	405	657895
19	406	657895
19	407	657895
19	408	657895
19	409	657895
19	505	657895
19	506	657895
19	507	657895
19	508	657895
19	509	657895
19	605	657895
19	606	657895
19	607	657895
19	608	657895
19	609	657895
19	705	657895
19	706	657895
19	707	657895
19	708	657895
19	709	657895
19	805	657895
19	806	657895
19	807	657895
19	808	657895
19	809	657895
19	905	657895
19	906	657895
19	907	657895
19	908	657895
19	909	657895
19	1005	657895
19	1006	657895
19	1007	657895
19	1008	657895
19	1009	657895
19	1202	657895
19	1203	657894
19	1204	657894
19	1302	657894
19	1303	657894
19	1304	657894
19	1505	657894
19	1506	657894
19	1507	657894
19	1508	657894
19	1509	657894
19	2406	657894
19	2407	657894
19	2408	657894
19	2409	657894
19	2410	657894
19	2506	657894
19	2507	657894
19	2508	657894
19	2509	657894
19	2510	657894
19	11	1596
19	12	1596
19	13	1596
19	14	1596
19	15	1596
19	16	1596
19	17	1596
19	111	1596
19	112	1596
19	113	1596
19	114	1596
19	115	1596
19	116	1596
19	117	1596
19	211	1596
19	212	1596
19	213	1596
19	214	1596
19	215	1596
19	216	1596
19	217	1596
19	311	1596
19	312	1596
19	313	1596
19	314	1596
19	315	1596
19	316	1596
19	317	1596
19	410	1596
19	411	1596
19	412	1596
19	413	1596
19	414	1596
19	415	1596
19	510	1596
19	511	1596
19	512	1596
19	513	1596
19	514	1596
19	515	1596
19	610	1596
19	611	1596
19	612	1596
19	613	1596
19	614	1596
19	615	1596
19	710	1596
19	711	1596
19	712	1596
19	713	1596
19	714	1596
19	715	1596
19	810	1596
19	811	1596
19	812	1596
19	813	1596
19	814	1596
19	815	1596
19	910	1596
19	911	1596
19	912	1596
19	913	1596
19	914	1596
19	915	1596
19	1010	1596
19	1011	1596
19	1012	1596
19	1013	1596
19	1014	1596
19	1015	1596
19	1205	1595
19	1206	1595
19	1305	1595
19	1306	1595
19	1510	1595
19	1511	1595
19	1512	1595
19	1513	1595
19	1514	1595
19	1515	1595
19	2411	1595
19	2412	1595
19	2413	1595
19	2414	1595
19	2415	1595
19	2416	1595
19	2417	1595
19	2511	1595
19	2512	1595
19	2513	1595
19	2514	1595
19	2515	1595
19	2516	1595
19	2517	1595
19	18	2
19	118	2
19	218	2
19	318	2
19	416	2
19	516	2
19	616	2
19	716	2
19	816	2
19	916	2
19	1016	2
19	1207	2
19	1307	2
19	1516	2
19	2418	2
19	2518	2
19	5304	1000
19	5305	1000
19	5306	1000
19	5307	4
19	5308	3
19	5309	3
19	5335	50000000
19	6706	50000000
19	5334	10000000
19	5002	100000000
19	5502	500000
19	5503	500000
19	5504	500000
19	5505	500000
19	5506	500000
19	5501	97500000
19	3901	30000000
19	3905	200000000
19	2905	79868479
19	3005	79868479
;19	6728	50000000
19	5347	100000
19	5346	10000
;정벌단 개선 광목천		
21	6901	50000000
21	6903	30000000
21	6905	10000000
21	6906	10000000
21	6907	10000000
21	6946	30000000
21	6947	20000000
21	6948	10000000
21	6955	10000000
21	2991	100000000
21	3091	100000000
21	3501	100000000
21	6041	520000000
;정벌단 개선 증장천		
22	6901	60000000
22	6903	30000000
22	6905	10000000
22	6906	10000000
22	6907	10000000
22	6946	60000000
22	6947	20000000
22	6948	10000000
22	6955	10000000
22	2991	100000000
22	3091	100000000
22	3501	80000000
22	6041	500000000
;정벌단 개선 지국천		
23	6901	60000000
23	6903	30000000
23	6905	10000000
23	6906	10000000
23	6907	10000000
23	6946	60000000
23	6947	20000000
23	6948	10000000
23	6955	10000000
23	2991	100000000
23	3091	100000000
23	3501	80000000
23	6041	500000000
;정벌단 개선 다문천		
24	6901	60000000
24	6903	30000000
24	6902	20000000
24	6904	10000000
24	6907	30000000
24	6946	20000000
24	6947	10000000
24	6948	10000000
24	6905	10000000
24	6906	10000000
24	6907	10000000
24	2991	100000000
24	3091	100000000
24	3501	80000000
24	6042	500000000
;수상한 각성 태천의 상자		
25	14053	10000000
25	14056	10000000
25	14059	10000000
25	14062	10000000
25	4076	2500000
25	14052	30000000
25	14054	30000000
25	14055	30000000
25	14058	30000000
25	4075	5000000
25	14051	50000000
25	14054	50000000
25	14057	50000000
25	14060	50000000
25	4074	10000000
25	6901	10000000
25	6903	10000000
25	7100	25000000
25	5003	25000000
25	5010	25000000
25	5013	25000000
25	5338	2500000
25	5338	1000000
25	5337	5000000
25	5337	3500000
25	5336	10000000
25	5336	8000000
25	5341	20000000
25	5341	20000000
25	14301	2500000
25	14302	2500000
25	14303	2500000
25	14304	2500000
25	14305	2500000
25	14306	2500000
25	14307	2500000
25	5304	5000000
25	5305	5000000
25	5306	5000000
25	5512	70000000
25	5513	70000000
25	5514	70000000
25	5515	70000000
25	5511	70000000
25	7203	20000000
25	7203	20000000
25	7203	10000000
;방파성 [신수]		
199	1	1859375
199	2	1859375
199	3	1859375
199	4	1859375
199	5	1859375
199	101	1859375
199	102	1859375
199	103	1859375
199	104	1859375
199	105	1859375
199	201	1859375
199	202	1859375
199	203	1859375
199	204	1859375
199	205	1859375
199	301	1859375
199	302	1859375
199	303	1859375
199	304	1859375
199	305	1859375
199	401	1859375
199	402	1859375
199	403	1859375
199	404	1859375
199	501	1859375
199	502	1859375
199	503	1859375
199	504	1859375
199	601	1859375
199	602	1859375
199	603	1859375
199	604	1859375
199	701	1859375
199	702	1859375
199	703	1859375
199	704	1859375
199	801	1859375
199	802	1859375
199	803	1859375
199	804	1859375
199	901	1859375
199	902	1859375
199	903	1859375
199	904	1859375
199	1001	1859375
199	1002	1859375
199	1003	1859375
199	1004	1859375
199	1201	1859375
199	1301	1859375
199	1501	1859375
199	1502	1859375
199	1503	1859375
199	1504	1859375
199	2401	1859375
199	2402	1859375
199	2403	1859375
199	2404	1859375
199	2405	1859375
199	2501	1859375
199	2502	1859375
199	2503	1859375
199	2504	1859375
199	2505	1859375
199	6	3289474
199	7	3289474
199	8	3289474
199	9	3289474
199	10	3289474
199	106	3289474
199	107	3289474
199	108	3289474
199	109	3289474
199	110	3289474
199	206	3289474
199	207	3289474
199	208	3289474
199	209	3289474
199	210	3289474
199	306	3289474
199	307	3289474
199	308	3289474
199	309	3289474
199	310	3289474
199	405	3289474
199	406	3289474
199	407	3289474
199	408	3289474
199	409	3289474
199	505	3289474
199	506	3289474
199	507	3289474
199	508	3289474
199	509	3289474
199	605	3289474
199	606	3289474
199	607	3289474
199	608	3289474
199	609	3289474
199	705	3289474
199	706	3289474
199	707	3289474
199	708	3289474
199	709	3289474
199	805	3289474
199	806	3289474
199	807	3289474
199	808	3289474
199	809	3289474
199	905	3289474
199	906	3289473
199	907	3289473
199	908	3289473
199	909	3289473
199	1005	3289473
199	1006	3289473
199	1007	3289473
199	1008	3289473
199	1009	3289473
199	1202	3289473
199	1203	3289473
199	1204	3289473
199	1302	3289473
199	1303	3289473
199	1304	3289473
199	1505	3289473
199	1506	3289473
199	1507	3289473
199	1508	3289473
199	1509	3289473
199	2406	3289473
199	2407	3289473
199	2408	3289473
199	2409	3289473
199	2410	3289473
199	2506	3289473
199	2507	3289473
199	2508	3289473
199	2509	3289473
199	2510	3289473
199	11	319149
199	12	319149
199	13	319149
199	14	319149
199	15	319149
199	16	319149
199	17	319149
199	111	319149
199	112	319149
199	113	319149
199	114	319149
199	115	319149
199	116	319149
199	117	319149
199	211	319149
199	212	319149
199	213	319149
199	214	319149
199	215	319149
199	216	319149
199	217	319149
199	311	319149
199	312	319149
199	313	319149
199	314	319149
199	315	319149
199	316	319149
199	317	319149
199	410	319149
199	411	319149
199	412	319149
199	413	319149
199	414	319149
199	415	319149
199	510	319149
199	511	319149
199	512	319149
199	513	319149
199	514	319149
199	515	319149
199	610	319149
199	611	319149
199	612	319149
199	613	319149
199	614	319149
199	615	319149
199	710	319149
199	711	319149
199	712	319149
199	713	319149
199	714	319149
199	715	319149
199	810	319149
199	811	319149
199	812	319149
199	813	319149
199	814	319149
199	815	319149
199	910	319149
199	911	319149
199	912	319149
199	913	319149
199	914	319149
199	915	319149
199	1010	319149
199	1011	319149
199	1012	319149
199	1013	319149
199	1014	319149
199	1015	319149
199	1205	319149
199	1206	319149
199	1305	319149
199	1306	319149
199	1510	319149
199	1511	319149
199	1512	319149
199	1513	319149
199	1514	319149
199	1515	319149
199	2411	319149
199	2412	319149
199	2413	319149
199	2414	319149
199	2415	319149
199	2416	319149
199	2417	319149
199	2511	319149
199	2512	319149
199	2513	319149
199	2514	319149
199	2515	319149
199	2516	319149
199	2517	319149
199	18	14286
199	19	14286
199	20	14286
199	21	14286
199	22	14286
199	23	14286
199	118	14286
199	119	14286
199	120	14286
199	121	14286
199	122	14286
199	123	14286
199	218	14286
199	219	14286
199	220	14286
199	221	14286
199	222	14286
199	223	14286
199	318	14286
199	319	14286
199	320	14286
199	321	14286
199	322	14286
199	323	14286
199	416	14286
199	417	14286
199	418	14286
199	419	14286
199	516	14286
199	517	14286
199	518	14286
199	519	14286
199	616	14286
199	617	14286
199	618	14286
199	619	14286
199	716	14286
199	717	14286
199	718	14286
199	719	14286
199	816	14286
199	817	14286
199	818	14286
199	819	14286
199	916	14286
199	917	14286
199	918	14286
199	919	14286
199	1016	14286
199	1017	14286
199	1018	14285
199	1019	14285
199	1207	14285
199	1307	14285
199	1516	14285
199	1517	14285
199	1518	14285
199	1519	14285
199	2418	14285
199	2419	14285
199	2420	14285
199	2421	14285
199	2422	14285
199	2423	14285
199	2518	14285
199	2519	14285
199	2520	14285
199	2521	14285
199	2522	14285
199	2523	14285
199	4101	588236
199	4103	588236
199	4111	588236
199	4113	588236
199	4121	588236
199	4123	588235
199	4131	588235
199	4133	588235
199	4201	588235
199	4202	588235
199	4215	588235
199	4217	588235
199	4802	588235
199	4141	588235
199	4143	588235
199	4151	588235
199	4153	588235
199	4102	159091
199	4104	159091
199	4112	159091
199	4114	159091
199	4122	159091
199	4124	159091
199	4132	159091
199	4134	159091
199	4203	159091
199	4204	159091
199	4212	159091
199	4216	159091
199	4218	159091
199	4301	159091
199	4302	159091
199	4803	159091
199	4804	159091
199	4902	159091
